ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
4637,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Barrio Padre Mugica,Ciudad Autónoma de Buenos Aires,OSC,POT,Equipamientos educativo - mejoramiento de jardin,FISU,En ejecución,"$269,219,376.83",15/4/2024,40.25%
68,Buenos Aires,La Plata,Sin Nombre (esos locos bajitos),Gonnet,OSC,POT,Equipamientos Comunitario y Espacio Recreativo,FISU,En ejecución,"$186,308,259.30",1/12/2023,25.97%
194,Buenos Aires,La Plata,Ruta del Sol,El Peligro,OSC,POT,Equipamiento Productivo,FISU,En ejecución,"$137,776,365.76",15/12/2023,20.00%
72,Buenos Aires,Lomas de Zamora,Ocho de diciembre,Lomas de Zamora,OSC,POT,Centro Verde - etapa 02,FISU,En ejecución,"$1,273,196,907.29",22/9/2023,64.36%
1561/625/1296/1232,Buenos Aires,General San Martín,La Carcova/Costa Esperanza/Veinticinco de Mayo/El Primaveral,,OSC,POT,Obras de Red Peatonal y Equipamiento Urbano (Puentes),FISU,En ejecución,"$29,355,856.79",29/9/2023,100.00%
4249,Buenos Aires,General Pueyrredón,El Caribe,Mar del Plata,OSC,POT,Obras de Red peatonal y Equipamiento Urbano,FISU,En ejecución,"$25,683,193.02",27/10/2023,89.81%
97,Buenos Aires,La Plata,"El Zanjón/""19 y 77""",Altos de San Lorenzo,OSC,POT,Obras de Equipamiento Recreativo,FISU,En ejecución,"$72,486,878.77",2/9/2023,100.00%
1976,Misiones,Oberá,San José,Oberá,OSC,POT,"Obras de conexiones e instalaciones intra lote de electricidad, red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$318,171,139.66",12/4/2024,20.12%
3533/3538,Chubut,Trelew,Moreira 3 y Moreira 4,Trelew,OSC,POT,Obras de integración socio urbana,FISU,En ejecución,"$1,042,823,231.85",25/9/2023,61.50%
1128,Buenos Aires,Pilar,Pinazo,La Lonja,OSC,POT,"Obras de Conexiones e instalaciones intra lote de electricidad, red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$616,417,789.85",30/10/2023,30.57%
4509 / 4327,Río Negro,General Roca,Colonia 17 de Octubre/Quinta 25,General Roca,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$483,618,713.06",1/12/2023,85.27%
3748/4466/3745/3730/3753/3728/4932/4931/4930/4929/4362/373/3720,Río Negro,San Carlos De Bariloche,Barrio Luján/Laguna de Los Juncos/La Lagunita/Amancay/El Renoval/Alma Fuerte/Buena Vista/Braulio Cárdenas/Valle del Lindo/El Cipresal/Industrial/ Ex Promeba/ Ecobarrio,El Bolsón,OSC,POT,Obras de equipamiento comunitario y conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$995,005,858.54",4/12/2023,70.45%
397/1174,Buenos Aires,San Isidro,La Cava/ Veinte de Junio,Beccar,OSC,POT,Red peatonal con mejoramiento pluvial,FISU,En ejecución,"$298,264,805.76",8/8/2023,61.43%
2985,Santa Fe,Santa Fe,los hornos,Santa fe,OSC,POT,"Obras de red peatonal, arbolado público y conexiones e instalaciones intra lote de agua",FISU,En ejecución,"$199,556,778.92",4/10/2023,70.52%
2985,Santa Fe,Santa Fe,los hornos,Santa fe,OSC,POT,"Obras de red peatonal, arbolado público y conexiones e instalaciones intra lote de agua",FISU,En ejecución,"$269,411,970.79",2/11/2023,98.00%
630,Buenos Aires,General San Martín,Eucaliptus II,General San Martín,OSC,POT,Obras de conexiones e instalaciones intra lote de agua,FISU,En ejecución,"$287,222,350.41",10/8/2023,70.41%
593,Buenos Aires,Luján,Padre Varela,Luján,OSC,POT,Equipamiento Productivo,FISU,En ejecución,"$628,743,697.69",8/11/2023,51.68%
5241/5242,Corrientes,Monte Caseros,Fedullo/La Rana,Monte Caseros,OSC,PEG,"Intralotes agua, electricidad y cloaca, Nucleo huemdo y equipamientos comunitarios",FISU,En ejecución,"$2,086,554,726.67",12/10/2023,8.65%
889,Buenos Aires,General Pueyrredón,Malvinas,Mar del Plata,OSC,POT,Conexiones e infraestructura,FISU,En ejecución,"$74,904,006.75",12/10/2023,22.73%
4254,Buenos Aires,General San Martín,Villa Hidalgo,Jose L. Suárez,OSC,POT,Obras de instalaciones intra lote de agua (ETAPA 4),FISU,En ejecución,"$310,251,959.71",10/8/2023,70.00%
273,Buenos Aires,Lomas de Zamora,Santa Catalina,Santa Catalina,OSC,POT,Equipamiento educativo.. Comunitario y productivo,FISU,En ejecución,"$933,243,127.99",12/6/2023,59.97%
715,Buenos Aires,San Pedro,La Tosquera,San Pedro,OSC,PEG,Obra de Integración socio urbana,FISU,En ejecución,"$1,232,898,104.58",10/8/2023,9.30%
2648,Río Negro,San Carlos De Bariloche,Alun Ruca,Bariloche,OSC,POT,Obras de instalaciones intra lote de electricidad,FISU,Terminado,"$642,571,995.01",28/8/2023,100.00%
1168,Buenos Aires,Lomas de Zamora,Diecisiete de Noviembre,Ingeniero Budge,OSC,POT,Obras de equipamiento comunitario,FISU,En ejecución,"$232,600,827.83",6/1/2024,20.11%
2422,Corrientes,Corrientes,Barrio Anahi,Corrientes,OSC,POT,Conexiones y intralote electricidad y Nucleos humedos,FISU,En ejecución,"$289,343,150.86",18/10/2023,2.18%
5293,Buenos Aires,La Matanza,Diecisiete de Septiembre,Gonzalez Catán,OSC,POT,Centro Verde,FISU,En ejecución,"$2,150,632,220.28",1/10/2023,60.20%
4180,Misiones,Puerto Iguazú,2000 héctareas,Puerto Iguazú,OSC,POT,Centro Verde,FISU,En ejecución,"$1,222,318,453.30",2/10/2023,82.54%
979,Buenos Aires,Hurlingham,Juan Pedro Rolón,Villa Tesei,OSC,POT,Obras de Equipamiento Productivo: Nuevo Centro Verde de Reciclado,FISU,En ejecución,"$1,076,277,108.73",16/10/2023,24.17%
3221,Jujuy,Humahuaca,Quebrada La Cancha,Humahuaca,OSC,POT,Centro Verde,FISU,En ejecución,"$274,633,819.34",10/8/2023,15.99%
113,Buenos Aires,La Plata,Joel,Villa Elvira,OSC,POT,Obras de Equipamiento Comunitario,FISU,En ejecución,"$230,337,083.12",5/11/2023,23.75%
468,Buenos Aires,La Plata,La Aceitera,Arana,OSC,POT,Obras de Equipamiento Comunitario,FISU,En ejecución,"$155,385,627.79",6/12/2023,32.96%
4833,Río Negro,General Roca,Actia,Cipolletti,OSC,POT,Obras de Equipamiento Recreativo y Playón Polideportivo,FISU,En ejecución,"$186,666,929.88",14/10/2023,9.73%
