cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio,actividad_codigo,actividad_descripcion,actividad_orden,actividad_estado,actividad_vigencia
30500000127,SEGUROS SURA S.A,1912-04-30-10:43,SOCIEDAD ANONIMA,2024-10-16-18:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,"PERON, JUAN TTE.GRAL.",430,6,, 1038,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,"GRIERSON,CECILIA BOULEVARD",255,1,, 1107,DECLARADO,,,,,
30500000747,BANCO COMERCIAL DE TRES ARROYOS S A,1906-09-01-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,BUENOS AIRES,TRES ARROYOS,BETOLAZA,189,,, 7500,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,TRES ARROYOS,AV MORENO,300,,, 7500,NO CONFIRMADO,,,,,
30500001042,BANCO COMERCIAL DEL TANDIL S A,1964-03-21-00:00,SOCIEDAD ANONIMA,2024-02-22-13:51,,BUENOS AIRES,TANDIL,GRAL PINTO,602,,, 7000,DECLARADO,BUENOS AIRES,TANDIL,GRAL PINTO,602,,, 7000,NO CONFIRMADO,,,,,
30500001115,BOSTON COMPAÑIA ARGENTINA DE SEGUROS S A,1925-02-19-11:00,SOCIEDAD ANONIMA,2024-10-25-16:52,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,03,, 1008,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,03,, 1008,DECLARADO,,,,,
30500001352,BANCO DE CREDITO COMERCIAL,1913-03-10-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,SANTA FE,SANTA FE,SAN MARTIN,2498,,, 3000,INEXISTENTE - DESCONOCIDO,SANTA FE,SANTA FE,SAN MARTIN,2498,,, 3000,NO CONFIRMADO,,,,,
30500001662,S A BANCO DE ITALIA Y RIO DE LA  PLATA,1972-06-22-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,03,, 1003,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,03,, 1003,NO CONFIRMADO,,,,,
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A U,1905-09-28-10:43,SOCIEDAD ANONIMA UNIPERSONAL,2024-02-28-09:37,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,430,,, 1038,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,430,,, 1038,DECLARADO POR INTERNET,,,,,
30500001808,BANCO DE AVELLANEDA S A,1911-07-20-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,546,04,, 1041,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,546,04,, 1041,NO CONFIRMADO,,,,,
30500002030,LLOYDS BANK B L S A LIMITED,1962-09-27-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TRONADOR,4890,13,, 1430,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TRONADOR,4890,13,, 1430,CONFIRMADO,,,,,
30500002103,BANCO DE OLAVARRIA S A,1900-06-07-00:00,SOCIEDAD ANONIMA,2024-02-22-13:42,,BUENOS AIRES,OLAVARRIA,VTE LOPEZ,2777,,, 7400,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,OLAVARRIA,VTE LOPEZ,2777,,, 7400,NO CONFIRMADO,,,,,
