"CODUSU";"NRO_HOGAR";"COMPONENTE";"ANO4";"TRIMESTRE";"AGLOMERADO";"POND_TIC";"RESPONDENTE";"IP_III_04";"IP_III_05";"IP_III_06"
"TQRMNOPPQHLKKSCDEFIAH00851537";1;1;2024;4;2;1301;1;1;1;1
"TQRMNOPPQHLMKPCDEFIAH00851545";1;1;2024;4;2;696;1;1;2;1
"TQRMNOPPQHLMKPCDEFIAH00851545";1;2;2024;4;2;696;1;1;1;1
"TQRMNOPPRHLKKSCDEFIAH00851581";1;1;2024;4;2;1334;1;1;1;1
"TQRMNOPPRHLKKSCDEFIAH00851581";1;2;2024;4;2;1334;1;1;1;1
"TQRMNOPPRHLMKPCDEFIAH00851616";1;1;2024;4;2;874;1;1;2;1
"TQRMNOPPTHKOMLCDEFIAH00869628";1;1;2024;4;2;1782;2;1;2;1
"TQRMNOPPTHKOMLCDEFIAH00869628";1;2;2024;4;2;1782;2;1;2;1
"TQRMNOPPTHKOMLCDEFIAH00869628";1;3;2024;4;2;1782;2;1;2;1
"TQRMNOPPTHKOMLCDEFIAH00869628";1;4;2024;4;2;1782;2;1;2;1
"TQRMNOPQUHMMLPCDEFIAH00808660";1;1;2024;4;2;636;1;1;1;1
"TQRMNOPQUHMMLPCDEFIAH00808660";1;2;2024;4;2;636;1;1;2;1
"TQRMNOPQUHMMLPCDEFIAH00808660";1;3;2024;4;2;636;1;1;1;1
"TQRMNOPQVHLMLNCDEFIAH00856359";1;1;2024;4;2;819;2;1;1;1
"TQRMNOPQVHLMLNCDEFIAH00856359";1;2;2024;4;2;819;2;1;1;1
"TQRMNOPQVHMMKOCDEFIAH00808649";1;1;2024;4;2;624;1;1;1;1
"TQRMNOPQVHMMKOCDEFIAH00808649";1;2;2024;4;2;624;1;1;1;1
"TQRMNOPQVHMMKOCDEFIAH00808649";1;3;2024;4;2;624;1;1;1;1
"TQRMNOPQWHMMKOCDEFIAH00851584";1;1;2024;4;2;578;1;1;2;1
"TQRMNOPQWHMMKOCDEFIAH00851584";1;2;2024;4;2;578;1;1;1;1
"TQRMNOPQWHMMLPCDEFIAH00808555";1;1;2024;4;2;1054;3;1;1;1
"TQRMNOPQWHMMLPCDEFIAH00808555";1;2;2024;4;2;1054;3;1;1;1
"TQRMNOPQWHMMLPCDEFIAH00808555";1;3;2024;4;2;1054;3;1;1;1
"TQRMNOPQWHMMLPCDEFIAH00808555";1;4;2024;4;2;1054;3;1;1;1
"TQRMNOPQWHMMLPCDEFIAH00808555";1;5;2024;4;2;1054;3;1;1;1
"TQRMNOPQXHMMLPCDEFIAH00808610";1;1;2024;4;2;560;1;1;2;1
"TQRMNOPQYHLMLNCDEFIAH00856360";1;1;2024;4;2;673;1;1;1;1
"TQRMNOPQYHMLKRCDEFIAH00808642";1;1;2024;4;2;1432;1;2;2;2
"TQRMNOPRQHMLKRCDEFIAH00808560";1;1;2024;4;2;1432;1;1;2;1
"TQRMNOPRRHJMLSCDEFIAH00874690";1;1;2024;4;2;575;1;1;2;1
"TQRMNOPRRHJMLSCDEFIAH00874690";1;2;2024;4;2;575;1;1;2;1
"TQRMNOPRTHJMLSCDEFIAH00876909";1;1;2024;4;2;561;1;1;1;1
"TQRMNOPRTHMOKNCDEFIAH00808600";1;1;2024;4;2;847;2;1;2;1
"TQRMNOPRTHMOKNCDEFIAH00808600";1;2;2024;4;2;847;2;1;2;1
"TQRMNOPRTHMOKNCDEFIAH00808600";1;3;2024;4;2;847;2;1;1;1
"TQRMNOPRTHMOKNCDEFIAH00808600";1;4;2024;4;2;847;2;1;1;1
"TQRMNOPRUHJOMMCDEFIAH00874169";1;1;2024;4;2;823;2;1;2;1
"TQRMNOPRUHJOMMCDEFIAH00874169";1;2;2024;4;2;823;2;1;2;1
"TQRMNOPRUHJOMMCDEFIAH00874169";1;3;2024;4;2;823;2;1;1;1
"TQRMNOPRUHJOMMCDEFIAH00874169";1;4;2024;4;2;823;2;1;1;2
"TQRMNOPRUHMMLOCDEFIAH00808557";1;1;2024;4;2;791;1;1;1;1
"TQRMNOPRVHMMLOCDEFIAH00808533";1;1;2024;4;2;915;1;1;1;1
"TQRMNOPRVHMMLOCDEFIAH00808533";1;2;2024;4;2;915;1;1;1;1
"TQRMNOPRVHMMLOCDEFIAH00808533";1;3;2024;4;2;915;1;1;1;1
"TQRMNOPRVHMOKNCDEFIAH00808591";1;1;2024;4;2;821;2;1;2;1
"TQRMNOPRVHMOKNCDEFIAH00808591";1;2;2024;4;2;821;2;1;2;1
"TQRMNOPRVHMOKNCDEFIAH00808591";1;3;2024;4;2;821;2;1;2;1
"TQRMNOPRVHMOKNCDEFIAH00808591";1;4;2024;4;2;821;2;1;2;1
"TQRMNOPRVHMOKNCDEFIAH00808591";1;5;2024;4;2;821;2;1;2;1
"TQRMNOPRVHMOKNCDEFIAH00808591";1;6;2024;4;2;821;2;1;2;1
"TQRMNOPRWHJOLQCDEFIAH00872846";1;1;2024;4;2;1658;2;2;2;2
"TQRMNOPRWHJOLQCDEFIAH00872846";1;2;2024;4;2;1658;2;1;1;1
"TQRMNOPRWHJOLQCDEFIAH00872846";1;3;2024;4;2;1658;2;1;1;1
"TQRMNOPRWHJOLQCDEFIAH00872846";1;4;2024;4;2;1658;2;1;1;2
"TQRMNOPRWHMMLOCDEFIAH00808586";1;1;2024;4;2;532;1;2;2;1
"TQRMNOPRXHMMLOCDEFIAH00808623";1;1;2024;4;2;559;1;2;2;1
"TQRMNOPRYHJOLQCDEFIAH00876881";1;1;2024;4;2;1458;1;1;1;1
"TQRMNOPRYHJOLQCDEFIAH00876881";1;2;2024;4;2;1458;1;2;2;2
"TQRMNOPSQHKMLMCDEFIAH00867794";1;1;2024;4;2;570;1;1;2;1
"TQRMNOPSQHLMKOCDEFIAH00856355";1;1;2024;4;2;615;1;1;2;1
"TQRMNOPSQHLMKOCDEFIAH00856355";1;2;2024;4;2;615;1;1;2;1
"TQRMNOPSRHKMLMCDEFIAH00868772";1;1;2024;4;2;847;1;1;1;1
"TQRMNOPSRHKOLOCDEFIAH00869041";1;1;2024;4;2;1337;2;1;2;1
"TQRMNOPSRHKOLOCDEFIAH00869041";1;2;2024;4;2;1337;2;1;2;1
"TQRMNOPSRHKOLOCDEFIAH00869041";1;3;2024;4;2;1337;2;1;2;1
"TQRMNOPSRHKOLOCDEFIAH00869041";1;4;2024;4;2;1337;2;1;2;1
"TQRMNOPSRHLMKOCDEFIAH00851535";1;1;2024;4;2;505;1;1;2;1
"TQRMNOPSRHLMKOCDEFIAH00851535";1;2;2024;4;2;505;1;1;2;2
"TQRMNOPSSHKMLMCDEFIAH00871405";1;1;2024;4;2;649;2;1;2;1
"TQRMNOPSSHKMLMCDEFIAH00871405";1;2;2024;4;2;649;2;1;2;1
"TQRMNOPSSHKMLMCDEFIAH00871405";1;3;2024;4;2;649;2;1;2;2
"TQRMNOPSSHKOLOCDEFIAH00872078";1;1;2024;4;2;969;1;1;2;1
"TQRMNOPSSHKOLOCDEFIAH00872078";1;2;2024;4;2;969;1;1;2;1
"TQRMNOPSSHKOLOCDEFIAH00872078";1;3;2024;4;2;969;1;2;2;2
"TQRMNOPSSHLMKOCDEFIAH00851511";1;1;2024;4;2;869;1;1;1;1
"TQRMNOPSSHLMKOCDEFIAH00851511";1;2;2024;4;2;869;1;1;1;1
"TQRMNOPSSHLMKOCDEFIAH00851511";1;3;2024;4;2;869;1;1;1;2
"TQRMNOPSTHKMLMCDEFIAH00872224";1;1;2024;4;2;979;1;1;2;1
"TQRMNOPSTHKMLMCDEFIAH00872224";1;2;2024;4;2;979;1;1;2;1
"TQRMNOPSTHKMLMCDEFIAH00872224";1;3;2024;4;2;979;1;1;2;2
"TQRMNOPSUHKMLMCDEFIAH00868773";1;1;2024;4;2;727;1;1;2;1
"TQRMNOPSUHKMLMCDEFIAH00868773";1;2;2024;4;2;727;1;1;2;1
"TQRMNOPSUHKMLMCDEFIAH00868773";1;3;2024;4;2;727;1;1;2;1
"TQRMNOPSUHKOLOCDEFIAH00868906";1;1;2024;4;2;1440;2;1;1;1
"TQRMNOPSUHKOLOCDEFIAH00868906";1;2;2024;4;2;1440;2;1;1;1
"TQRMNOPSUHKOLOCDEFIAH00868906";1;3;2024;4;2;1440;2;1;1;1
"TQRMNOPSUHLMKOCDEFIAH00851544";1;1;2024;4;2;571;1;1;1;1
"TQRMNOPSUHLMKOCDEFIAH00851544";1;2;2024;4;2;571;1;1;1;1
"TQRMNOPSUHLMKOCDEFIAH00851544";1;3;2024;4;2;571;1;1;1;1
"TQRMNOPSUHLMKOCDEFIAH00851544";1;4;2024;4;2;571;1;1;1;1
"TQRMNOPSWHJOMMCDEFIAH00875889";1;1;2024;4;2;1007;1;1;2;1
"TQRMNOPSWHJOMMCDEFIAH00875889";1;2;2024;4;2;1007;1;1;2;1
"TQRMNOPSWHJOMMCDEFIAH00875889";1;3;2024;4;2;1007;1;1;2;1
"TQRMNOPSWHJOMMCDEFIAH00875889";1;4;2024;4;2;1007;1;1;2;1
"TQRMNOPSWHJOMMCDEFIAH00875889";1;5;2024;4;2;1007;1;1;2;1
"TQRMNOPSWHJOMMCDEFIAH00875889";1;7;2024;4;2;1007;1;2;2;2
"TQRMNOPSYHJMKPCDEFIAH00874710";1;1;2024;4;2;680;1;1;2;1
"TQRMNOPSYHJMKPCDEFIAH00874710";1;2;2024;4;2;680;1;1;2;1
"TQRMNOPSYHJMKPCDEFIAH00874710";1;3;2024;4;2;680;1;1;2;1
"TQRMNOPTPHJMKPCDEFIAH00874003";1;1;2024;4;2;636;2;1;1;1
"TQRMNOPTPHJMKPCDEFIAH00874003";1;2;2024;4;2;636;2;1;1;1
"TQRMNOPTQHJMKPCDEFIAH00874213";1;1;2024;4;2;940;1;1;9;9
"TQRMNOPTQHJMKPCDEFIAH00874213";1;2;2024;4;2;940;1;2;2;2
"TQRMNOPTQHJMKPCDEFIAH00874213";1;3;2024;4;2;940;1;1;2;1
"TQRMNOPTQHJMKPCDEFIAH00874213";1;4;2024;4;2;940;1;1;2;1
"TQRMNOPTQHJMKPCDEFIAH00874213";1;5;2024;4;2;940;1;1;2;1
"TQRMNOPTQHJMKPCDEFIAH00874213";1;6;2024;4;2;940;1;1;2;2
"TQRMNOPTQHJMKPCDEFIAH00874213";1;7;2024;4;2;940;1;1;2;1
"TQRMNOPTQHJNLRCDEFIAH00876907";1;1;2024;4;2;629;1;2;2;1
"TQRMNOPTQHJNLRCDEFIAH00876907";1;2;2024;4;2;629;1;1;2;1
"TQRMNOPTQHJNLRCDEFIAH00876907";1;3;2024;4;2;629;1;1;1;1
"TQRMNOPTQHJNLRCDEFIAH00876907";1;4;2024;4;2;629;1;1;1;1
"TQRMNOPTQHJNLRCDEFIAH00876907";1;5;2024;4;2;629;1;1;1;1
"TQRMNOPTQHLMKQCDEFIAH00874709";1;1;2024;4;2;651;1;1;2;1
"TQRMNOPTQHLMKQCDEFIAH00874709";1;2;2024;4;2;651;1;1;1;1
"TQRMNOPTQHLMKQCDEFIAH00874709";1;3;2024;4;2;651;1;1;2;1
"TQRMNOPTQHLMKQCDEFIAH00874709";1;4;2024;4;2;651;1;1;2;1
"TQRMNOPTRHJMKPCDEFIAH00877127";1;1;2024;4;2;522;1;1;1;1
"TQRMNOPTRHLMKQCDEFIAH00851591";1;1;2024;4;2;541;1;1;2;1
"TQRMNOPTRHLMKQCDEFIAH00851591";1;2;2024;4;2;541;2;1;2;1
"TQRMNOPTRHLMLTCDEFIAH00851514";1;1;2024;4;2;504;1;1;2;1
"TQRMNOPTTHLMKQCDEFIAH00851599";1;1;2024;4;2;528;1;1;1;1
"TQRMNOPTUHJNLRCDEFIAH00873111";1;1;2024;4;2;717;1;1;1;1
"TQRMNOPTXHLKLMCDEFIAH00851502";1;1;2024;4;2;624;1;1;1;1
"TQRMNOPUQHJOLTCDEFIAH00877159";1;1;2024;4;2;542;1;1;1;1
"TQRMNOPUQHJOLTCDEFIAH00877159";1;2;2024;4;2;542;1;2;2;2
"TQRMNOPUQHKNLPCDEFIAH00869696";1;1;2024;4;2;547;2;2;2;2
"TQRMNOPUQHKNLPCDEFIAH00869696";1;2;2024;4;2;547;2;1;2;1
"TQRMNOPUQHKNLPCDEFIAH00869696";1;3;2024;4;2;547;2;1;2;1
"TQRMNOPUQHKNLPCDEFIAH00869696";1;4;2024;4;2;547;2;1;2;1
"TQRMNOPUQHKNLPCDEFIAH00869696";1;5;2024;4;2;547;1;1;2;1
"TQRMNOPURHJOLTCDEFIAH00872898";1;1;2024;4;2;542;1;1;2;1
"TQRMNOPURHJOLTCDEFIAH00872898";1;2;2024;4;2;542;1;1;2;1
"TQRMNOPURHKNLPCDEFIAH00867534";1;1;2024;4;2;549;3;1;2;1
"TQRMNOPURHKNLPCDEFIAH00867534";1;2;2024;4;2;549;3;2;2;2
"TQRMNOPURHKNLPCDEFIAH00867534";1;3;2024;4;2;549;3;1;2;1
"TQRMNOPURHKNLPCDEFIAH00867534";1;5;2024;4;2;549;3;1;2;1
"TQRMNOPURHKNLPCDEFIAH00867534";1;6;2024;4;2;549;3;1;2;1
"TQRMNOPURHMOLRCDEFIAH00808655";1;1;2024;4;2;1113;1;1;1;1
"TQRMNOPURHMOLRCDEFIAH00808655";1;2;2024;4;2;1113;1;1;1;1
"TQRMNOPURHMOLRCDEFIAH00808655";1;3;2024;4;2;1113;1;1;1;1
"TQRMNOPURHMOLRCDEFIAH00808655";1;4;2024;4;2;1113;1;1;1;1
"TQRMNOPUSHMOLRCDEFIAH00808625";1;1;2024;4;2;1198;1;1;1;1
"TQRMNOPUSHMOLRCDEFIAH00808625";1;2;2024;4;2;1198;1;1;1;1
"TQRMNOPUSHMOLRCDEFIAH00808625";1;3;2024;4;2;1198;1;1;1;1
"TQRMNOPUTHLMLTCDEFIAH00856353";1;1;2024;4;2;598;1;1;1;1
"TQRMNOPUTHLMLTCDEFIAH00856353";1;2;2024;4;2;598;1;1;1;1
"TQRMNOPUTHLMLTCDEFIAH00856353";1;3;2024;4;2;598;1;2;2;2
"TQRMNOPUTHLMLTCDEFIAH00856353";1;4;2024;4;2;598;1;1;1;1
"TQRMNOPUTHMOLRCDEFIAH00856344";2;1;2024;4;2;1240;2;1;1;1
"TQRMNOPUTHMOLRCDEFIAH00856344";2;2;2024;4;2;1240;2;1;1;1
"TQRMNOPUVHJMLOCDEFIAH00872841";1;1;2024;4;2;926;2;1;1;1
"TQRMNOPUVHJMLOCDEFIAH00872841";1;2;2024;4;2;926;2;1;1;1
"TQRMNOPUVHJMLOCDEFIAH00872841";1;3;2024;4;2;926;2;1;1;1
"TQRMNOPUVHJMLOCDEFIAH00872841";1;4;2024;4;2;926;2;1;1;1
"TQRMNOPUVHJOKNCDEFIAH00875041";1;1;2024;4;2;1074;2;1;2;1
"TQRMNOPUVHJOKNCDEFIAH00875041";1;2;2024;4;2;1074;2;1;2;1
"TQRMNOPUVHJOKNCDEFIAH00875041";1;3;2024;4;2;1074;2;1;2;1
"TQRMNOPUVHJOKNCDEFIAH00875041";1;4;2024;4;2;1074;2;1;2;1
"TQRMNOPUWHJOKNCDEFIAH00873651";1;1;2024;4;2;866;1;1;1;1
"TQRMNOPUWHJOKNCDEFIAH00873651";1;2;2024;4;2;866;1;1;1;1
"TQRMNOPUWHJOKNCDEFIAH00873651";1;4;2024;4;2;866;1;1;1;1
"TQRMNOPUWHJOKNCDEFIAH00873651";1;5;2024;4;2;866;1;1;1;1
"TQRMNOPUWHJOKNCDEFIAH00873651";1;6;2024;4;2;866;1;1;1;1
"TQRMNOPUWHLMLTCDEFIAH00856335";1;1;2024;4;2;866;1;1;1;1
"TQRMNOPUWHLMLTCDEFIAH00856335";1;2;2024;4;2;866;1;1;2;1
"TQRMNOPUWHLMLTCDEFIAH00856335";1;3;2024;4;2;866;1;1;2;1
"TQRMNOPUXHJOKNCDEFIAH00874569";1;1;2024;4;2;975;1;1;2;1
"TQRMNOPUYHJOKNCDEFIAH00875042";1;1;2024;4;2;779;2;1;2;1
"TQRMNOPUYHJOKNCDEFIAH00875042";1;2;2024;4;2;779;2;1;2;1
"TQRMNOPUYHJOKNCDEFIAH00875042";1;3;2024;4;2;779;2;1;1;1
"TQRMNOPUYHJOKNCDEFIAH00875042";1;4;2024;4;2;779;2;1;1;1
"TQRMNOPVPHJOKNCDEFIAH00875761";1;1;2024;4;2;799;1;1;2;1
"TQRMNOPVPHJOKNCDEFIAH00875761";1;2;2024;4;2;799;1;1;2;1
"TQRMNOPVRHLOLSCDEFIAH00851509";1;1;2024;4;2;1477;1;1;2;1
"TQRMNOPVRHLOLSCDEFIAH00851509";1;2;2024;4;2;1477;1;1;2;1
"TQRMNOPVRHLOLSCDEFIAH00851509";1;3;2024;4;2;1477;1;2;2;2
"TQRMNOPVRHLOLSCDEFIAH00851509";1;4;2024;4;2;1477;1;2;2;2
"TQRMNOPVSHLOLSCDEFIAH00851531";1;1;2024;4;2;1083;1;1;2;1
"TQRMNOPVUHLOLSCDEFIAH00851532";1;1;2024;4;2;765;1;1;2;1
"TQRMNOPVVHJMMLCDEFIAH00876082";1;1;2024;4;2;807;1;1;2;1
"TQRMNOPVVHMOMMCDEFIAH00808631";1;1;2024;4;2;775;1;1;1;1
"TQRMNOPVVHMOMMCDEFIAH00808631";1;2;2024;4;2;775;1;1;1;1
"TQRMNOPVWHJMMLCDEFIAH00872761";1;1;2024;4;2;543;1;2;2;1
"TQRMNOPVWHMOMMCDEFIAH00856339";1;1;2024;4;2;906;1;1;2;1
"TQRMNOPVWHMOMMCDEFIAH00856339";1;2;2024;4;2;906;1;1;2;1
"TQRMNOPVWHMOMMCDEFIAH00856339";1;3;2024;4;2;906;1;1;1;1
"TQRMNOPVWHMOMMCDEFIAH00856339";1;4;2024;4;2;906;1;1;1;1
"TQRMNOPVXHJMMLCDEFIAH00874502";1;1;2024;4;2;807;1;1;1;1
"TQRMNOPVXHJMMLCDEFIAH00874502";1;2;2024;4;2;807;1;1;1;1
"TQRMNOPVXHJMMLCDEFIAH00874502";1;3;2024;4;2;807;1;1;1;1
"TQRMNOPVXHJMMLCDEFIAH00874502";1;4;2024;4;2;807;1;1;1;1
"TQRMNOPVXHJMMLCDEFIAH00874502";1;5;2024;4;2;807;1;1;2;1
"TQRMNOPVYHJMMLCDEFIAH00874254";1;1;2024;4;2;807;1;1;2;1
"TQRMNOPVYHMOMMCDEFIAH00808564";1;1;2024;4;2;890;2;1;2;1
"TQRMNOPVYHMOMMCDEFIAH00808564";1;2;2024;4;2;890;2;1;2;1
"TQRMNOPVYHMOMMCDEFIAH00808564";1;3;2024;4;2;890;2;1;1;1
"TQRMNOPVYHMOMMCDEFIAH00808564";1;4;2024;4;2;890;2;2;2;2
"TQRMNOPVYHMOMMCDEFIAH00808564";1;5;2024;4;2;890;2;1;1;1
"TQRMNOPWQHMMLNCDEFIAH00856362";1;1;2024;4;2;592;1;1;2;1
"TQRMNOPWQHMMLNCDEFIAH00856362";1;2;2024;4;2;592;1;1;2;1
"TQRMNOPWQHMMLNCDEFIAH00856362";1;3;2024;4;2;592;1;1;1;1
"TQRMNOPWRHMMLNCDEFIAH00808530";1;1;2024;4;2;742;1;1;1;1
"TQRMNOPWSHKLLRCDEFIAH00870590";1;1;2024;4;2;1278;1;1;2;1
"TQRMNOPWSHKLLRCDEFIAH00870590";1;2;2024;4;2;1278;1;1;2;1
"TQRMNOPWSHMMLNCDEFIAH00808585";1;1;2024;4;2;524;1;1;2;1
"TQRMNOPWTHKLLRCDEFIAH00869241";1;1;2024;4;2;1246;1;1;1;1
